epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.144,0.94623,4.31416,0.01749,0.75304,0.62258,0.71004,0.42905,1.14454,4.67882,0.03283,0.000662252,0.000662252,0.000662252
2,208.501,1.15253,2.74199,0.02184,0.73375,0.6513,0.72209,0.42726,1.245,1.91045,0.03675,0.00128506,0.00128506,0.00128506
3,276.078,1.22629,1.87846,0.0241,0.76762,0.69571,0.74717,0.41893,1.32692,1.34131,0.04029,0.00186388,0.00186388,0.00186388
4,345.09,1.29303,1.57582,0.02519,0.73292,0.70418,0.74247,0.43037,1.35694,1.2363,0.03987,0.001802,0.001802,0.001802
5,425.169,1.27708,1.40864,0.02486,0.77844,0.7074,0.79095,0.46504,1.35272,1.12583,0.04005,0.001736,0.001736,0.001736
6,500.502,1.24729,1.32616,0.02376,0.79341,0.7492,0.80503,0.49241,1.2729,1.03284,0.03684,0.00167,0.00167,0.00167
7,575.074,1.22011,1.26502,0.02318,0.84184,0.71865,0.81342,0.53249,1.1623,1.00243,0.0348,0.001604,0.001604,0.001604
8,639.238,1.20021,1.17929,0.02308,0.85558,0.71543,0.84356,0.54356,1.25411,0.91388,0.03715,0.001538,0.001538,0.001538
9,708.389,1.18154,1.16127,0.02295,0.79368,0.75884,0.82041,0.50053,1.34225,0.99426,0.04055,0.001472,0.001472,0.001472
10,783.698,1.15196,1.15451,0.02238,0.806,0.7815,0.82459,0.54273,1.22152,0.9117,0.03679,0.001406,0.001406,0.001406
11,858.831,1.10673,1.08521,0.02084,0.84433,0.78617,0.85846,0.58105,1.1509,0.88232,0.0338,0.00134,0.00134,0.00134
12,924.847,1.12444,1.08401,0.02137,0.86139,0.7508,0.84983,0.58485,1.07035,0.88234,0.03079,0.001274,0.001274,0.001274
13,999.646,1.08018,1.03085,0.02033,0.80886,0.80961,0.85156,0.592,1.10362,0.85291,0.03234,0.001208,0.001208,0.001208
14,1067.33,1.06179,0.99461,0.02018,0.85987,0.78925,0.87703,0.62317,1.03274,0.7795,0.03003,0.001142,0.001142,0.001142
15,1142.57,1.04259,0.96526,0.0198,0.87273,0.81579,0.87101,0.63202,1.00413,0.78211,0.0284,0.001076,0.001076,0.001076
16,1217.64,1.01214,0.93676,0.01889,0.83484,0.82892,0.88299,0.64031,0.98986,0.80291,0.02774,0.00101,0.00101,0.00101
17,1294.85,1.00912,0.94666,0.01846,0.86735,0.83601,0.88888,0.66236,0.94166,0.73943,0.02655,0.000944,0.000944,0.000944
18,1369.06,0.99212,0.92402,0.0187,0.86079,0.82797,0.86556,0.6303,0.99026,0.78762,0.02837,0.000878,0.000878,0.000878
19,1451.86,0.95797,0.8501,0.01789,0.86615,0.83227,0.90007,0.66485,0.93363,0.72506,0.02571,0.000812,0.000812,0.000812
20,1528.41,0.94879,0.83311,0.01754,0.85366,0.83923,0.89588,0.67113,0.9541,0.664,0.0264,0.000746,0.000746,0.000746
21,1597.37,0.87721,0.64085,0.02213,0.88179,0.85531,0.90168,0.68859,0.90858,0.67565,0.02508,0.00068,0.00068,0.00068
22,10762.6,0.80446,0.5464,0.01984,0.87734,0.84566,0.90788,0.6849,0.89036,0.61205,0.02449,0.000614,0.000614,0.000614
23,10821.9,0.79594,0.54148,0.01952,0.89438,0.83042,0.90325,0.68955,0.88447,0.65869,0.0242,0.000548,0.000548,0.000548
24,10887.6,0.76509,0.48884,0.0185,0.88371,0.83075,0.90587,0.68589,0.91122,0.66867,0.02509,0.000482,0.000482,0.000482
25,10961.5,0.74452,0.47993,0.01795,0.91806,0.84244,0.91198,0.72015,0.83929,0.63995,0.02274,0.000416,0.000416,0.000416
26,11018.7,0.70864,0.44182,0.01713,0.90822,0.82476,0.91742,0.71862,0.85924,0.62093,0.02365,0.00035,0.00035,0.00035
27,11073.9,0.69317,0.43874,0.01656,0.90426,0.85039,0.91845,0.73247,0.82338,0.60826,0.02228,0.000284,0.000284,0.000284
28,11130.7,0.66969,0.40801,0.01586,0.91359,0.85852,0.92047,0.73104,0.82348,0.57274,0.02234,0.000218,0.000218,0.000218
29,11191.3,0.66347,0.39405,0.01544,0.895,0.87942,0.92361,0.73652,0.81829,0.57498,0.02225,0.000152,0.000152,0.000152
30,11253.9,0.64294,0.37925,0.01503,0.93666,0.85596,0.92547,0.74182,0.81356,0.56605,0.02192,8.6e-05,8.6e-05,8.6e-05
